Instructions,AvgEnergy,EnergyPerInstruction,Duration,Iterations;
1,132.595837780149,2377.44337139807,17930,73529;
1001,132.345755693581,1.86394651725085,14098,29296;
2001,132.286573146292,1.031650161893,15605,21613;
3001,132.019552529183,0.650771489691504,14793,14563;
4001,131.741776937618,0.492097189785729,14945,11627;
5001,131.498069852941,0.390918177265282,14867,9615;
6001,131.391055456171,0.323474663107727,14774,8152;
7001,131.183013937282,0.272390726125735,14537,7042;
8001,130.951612903225,0.242295672718328,14804,6355;
9001,130.787665562913,0.216763736792305,14918,5725;
