Instructions,Threads,AvgEnergy,EnergyPerInstruction,Duration,Iterations
1,64,132.708335912514,2886.93713944083,21754,110497;
1,128,132.542580775854,3937.70753226985,29709,148148;
1,256,132.344437787098,3075.68473417216,23240,120481;
1,512,132.199298557597,2372.31641261608,17945,78431;
1,1024,131.9389809164,4362.29852603893,33063,150375;
1,2048,131.784976525822,2461.21622159625,18676,76335;
2,64,131.668954433731,1519.45973416526,23080,121951;
2,128,131.496725358674,1707.02474024363,25963,122699;
2,256,131.304455763583,1749.76317750551,26652,118343;
2,512,131.249039686874,958.971108472145,14613,75757;
2,1024,131.094890149469,1307.86817157618,19953,80321;
2,2048,130.93902384766,1422.19420752136,21723,90090;
4,64,130.860678669138,491.839860777955,15034,79365;
4,128,130.556429801895,1515.66223267765,46437,198019;
4,256,130.449675629535,568.075724947718,17419,80645;
4,512,130.281408154687,973.039267155319,29875,131578;
4,1024,130.111926110419,797.358411186175,24513,102040;
4,2048,130.050626132806,492.404183195337,15145,75187;
8,64,129.93807773967,289.680702060877,17835,76335;
8,128,129.813233034053,310.058907101836,19108,78125;
8,256,129.702340306163,305.805692856856,18862,80321;
8,512,129.652119621411,254.669175966357,15714,80645;
8,1024,129.534570527975,313.052673323484,19334,77519;
8,2048,129.426120218579,316.188011693988,19544,79365;
16,64,129.3510414247,139.133213932443,17210,84033;
16,128,129.196157959059,237.284893611557,29386,121951;
16,256,129.092463833977,146.737789984284,18187,74906;
16,512,129.021911421912,128.562270862471,15943,76923;
16,1024,128.821983458869,323.568616952814,40188,168067;
16,2048,128.702314001172,149.39121097686,18572,74349;
32,64,128.661277183796,60.9774040552953,15166,75757;
32,128,128.566140085119,75.171015031018,18710,77220;
32,256,128.464677684768,75.589419253953,18829,74626;
32,512,128.386521800881,69.8141833080353,17401,74906;
32,1024,128.199337932958,178.169036121639,44473,185185;
32,2048,128.131716753023,83.3456776316929,20815,86580;
64,64,128.017973322445,72.6501998604875,36320,151515;
64,128,127.937235838229,38.3791717321587,19199,74906;
64,256,127.899101635828,34.68064077794,17354,81967;
64,512,127.806988496576,40.6086736105918,20335,78125;
64,1024,127.713035455385,44.3842708531043,22242,85836;
64,2048,127.661594771242,41.4002562418301,20755,85106;
128,64,127.569349403837,21.6409441637103,21714,80000;
128,128,127.489184670782,19.8086320682228,19888,72202;
128,256,127.438025116339,21.9790768942836,22076,93023;
128,512,127.355983554713,20.1113007468079,20213,72992;
128,1024,127.282881185632,18.8865918934274,18993,68259;
128,2048,127.214054121462,18.5742457615313,18689,59523;
256,64,127.140687272504,14.029676854535,28249,97087;
256,128,127.062457881518,9.24875718814143,18634,58479;
256,256,126.993910080916,9.3171860122647,18782,60422;
256,512,126.910884599195,15.8395690383941,31951,108695;
256,1024,126.824719637319,11.1164839216477,22439,70671;
256,2048,126.778696475042,11.6368976944162,23498,79681;
512,64,126.726558456834,3.90451456964171,15775,50890;
512,128,126.681827221151,3.79303205332079,15330,51150;
512,256,126.624192332232,5.82570209878527,23556,83333;
512,512,126.564248286982,5.17084169075603,20918,64516;
512,1024,126.511368577641,4.50523785796119,18233,58479;
512,2048,126.462921284457,4.81077796456517,19477,52910;
1024,64,126.433282503107,2.2651806648457,18346,55401;
1024,128,126.393479482856,1.72297517588007,13959,37037;
1024,256,126.340297339594,2.06906912732909,16770,44150;
1024,512,126.2950380619,2.10606842768067,17076,47058;
1024,1024,126.245842968837,3.36314487338565,27279,77821;
1024,2048,126.193213016134,2.47851357439501,20112,39761;
2048,64,126.145205107308,1.21433238217313,19715,41928;
2048,128,126.099811249529,1.40310668884486,22788,47505;
2048,256,126.045762348656,1.24193234298512,20179,41580;
2048,512,125.995916520258,1.18767146895683,19305,39682;
2048,1024,126.079510751836,1.45213061504605,23588,49504;
2048,2048,126.034871391076,1.23339399043943,20042,26041;
4096,64,125.983166405843,0.601434286108363,19554,26560;
4096,128,125.940325253781,0.705739327526864,22953,31152;
4096,256,125.891805641343,0.6054240203914,19698,26525;
4096,512,125.846598117455,0.61129001859006,19896,26881;
4096,1024,125.817977642277,0.673875682010809,21938,30165;
4096,2048,125.773902943999,0.616801852645534,20087,15267;
8192,64,125.732808813934,0.30398730607529,19806,15873;
8192,128,125.707346704585,0.299659798150285,19528,15873;
8192,256,125.661283043198,0.304059808652621,19822,15873;
8192,512,125.621241926737,0.302337451883245,19716,15748;
8192,1024,125.605207567515,0.299692307997394,19546,15873;
8192,2048,125.565636115578,0.305376485391926,19923,8368;
