Instructions,Threads,AvgEnergy,EnergyPerInstruction,Duration,Iterations
1,64,145.430769230769,1877.94752307692,12913,148148;
1,128,148.234615384615,1916.67357692307,12930,151515;
1,256,150.664102564103,1904.09292820513,12638,144927;
1,512,152.535042735043,2944.689,19305,227272;
1,1024,152.332116788321,1469.70026277372,9648,108108;
1,2048,152.739655172414,2826.75279827587,18507,180180;
2,64,153.1175,971.98989,12696,145985;
2,128,153.139082969432,1112.1725900655,14525,168067;
2,256,152.962840466926,1047.79545719844,13700,152671;
2,512,153.028595890411,1305.71649443493,17065,192307;
2,1024,153.47686965812,757.331613327993,9869,118343;
2,2048,151.972395833333,1503.31093958333,19784,148148;
4,64,151.898894783377,456.266305205569,12015,139860;
4,128,152.072427983539,527.577270781893,13877,150375;
4,256,152.216029962547,759.405773483147,19956,233100;
4,512,152.312361111111,659.855226423611,17329,198019;
4,1024,152.28543754175,356.614423363393,9367,105820;
4,2048,150.957285803627,627.718133692932,16633,101522;
8,64,150.975370041444,283.758207992894,15036,169491;
8,128,150.875907029478,232.594070174319,12333,135226;
8,256,150.88100711549,189.148202545156,10029,114285;
8,512,150.885164543524,179.968280009288,9542,105263;
8,1024,151.005066872428,181.28158278035,9604,104166;
8,2048,151.156864197531,253.301115179013,13406,116959;
16,64,151.305299760192,92.4380815722423,9775,114942;
16,128,151.380004591368,145.097734400826,15336,166666;
16,256,151.315527256479,92.5578165786975,9787,107526;
16,512,151.188144776766,107.145148351484,11339,105820;
16,1024,151.099978982766,111.426790751104,11799,103626;
16,2048,149.935238668271,175.105616859707,18686,98522;
32,64,149.396081804281,94.1662178122609,20170,147058;
32,128,149.278664434524,54.6173313499815,11708,99502;
32,256,148.369682369736,86.063688879595,18562,101010;
32,512,148.245394508168,56.9169661539798,12286,101010;
32,1024,147.469933993399,116.607241869843,25303,153374;
32,2048,146.74803548796,95.0422823589991,20725,106951;
64,64,145.850121876904,47.6907109455933,20927,121212;
64,128,144.525881683731,87.0926512327571,38567,176211;
64,256,143.934430727023,48.4834134002057,21558,104166;
64,512,143.562756872164,37.7682208977598,16837,92165;
64,1024,143.267808041505,39.8262120760377,17791,98039;
64,2048,142.970025252525,38.7493446567234,17346,97560;
128,64,142.684452644526,19.2189269378459,17241,97087;
128,128,142.162996727443,38.9504398064955,35070,196078;
